,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"c[0, 35]",-0.094,0.146,-0.331,0.15,0.002,0.002,5354.0,3118.0,1.0
"c[0, 36]",0.244,0.178,-0.05,0.523,0.002,0.002,7569.0,2944.0,1.0
"c[0, 37]",-0.266,0.157,-0.526,-0.017,0.002,0.002,5652.0,3357.0,1.0
"c[0, 38]",0.505,0.15,0.269,0.762,0.002,0.001,5744.0,2968.0,1.0
"c[0, 39]",0.123,0.182,-0.166,0.425,0.002,0.002,6100.0,3170.0,1.0
"c[0, 40]",0.203,0.154,-0.057,0.452,0.002,0.002,6720.0,2439.0,1.0
"c[0, 41]",0.016,0.147,-0.215,0.264,0.002,0.002,6512.0,3182.0,1.0
"c[0, 42]",0.429,0.145,0.196,0.679,0.002,0.001,6387.0,2802.0,1.0
"c[0, 43]",0.024,0.15,-0.212,0.287,0.002,0.002,5709.0,3261.0,1.0
"c[0, 44]",0.542,0.176,0.241,0.81,0.002,0.002,7034.0,2857.0,1.0
"c[0, 45]",0.125,0.168,-0.153,0.405,0.002,0.002,6805.0,3092.0,1.0
"c[0, 46]",-0.57,0.219,-0.914,-0.205,0.003,0.003,4858.0,2847.0,1.0
"c[0, 47]",-0.105,0.168,-0.362,0.182,0.002,0.002,5283.0,3191.0,1.0
"c[0, 48]",0.415,0.175,0.124,0.69,0.002,0.002,7800.0,3029.0,1.0
"c[0, 49]",1.568,0.245,1.15,1.934,0.004,0.003,5397.0,2518.0,1.0
"c[0, 50]",0.224,0.17,-0.06,0.489,0.002,0.002,7164.0,2529.0,1.0
"c[0, 51]",0.087,0.169,-0.184,0.365,0.002,0.002,5120.0,2967.0,1.0
"c[0, 52]",0.239,0.219,-0.123,0.596,0.003,0.002,6891.0,2853.0,1.0
"c[0, 53]",-0.008,0.153,-0.253,0.245,0.002,0.002,5001.0,3138.0,1.0
"c[0, 54]",0.199,0.193,-0.115,0.508,0.002,0.002,6486.0,2826.0,1.0
"c[0, 55]",-0.031,0.156,-0.296,0.215,0.002,0.002,5818.0,3066.0,1.0
"c[0, 56]",-0.653,0.221,-1.0,-0.281,0.004,0.003,3949.0,2843.0,1.0
"c[0, 57]",-0.045,0.155,-0.296,0.212,0.002,0.002,5478.0,3167.0,1.0
"c[0, 58]",-0.414,0.219,-0.769,-0.061,0.004,0.003,3661.0,2438.0,1.0
"c[0, 59]",-0.627,0.219,-0.96,-0.247,0.003,0.003,4201.0,2581.0,1.0
"c[0, 60]",0.475,0.169,0.215,0.774,0.002,0.001,7350.0,2922.0,1.0
"c[0, 61]",-0.792,0.222,-1.14,-0.429,0.003,0.003,4686.0,2920.0,1.0
"c[0, 62]",-0.057,0.199,-0.38,0.268,0.003,0.003,5884.0,3304.0,1.0
"c[0, 63]",0.703,0.18,0.429,1.016,0.002,0.002,7991.0,2797.0,1.0
"c[0, 64]",0.221,0.167,-0.062,0.49,0.002,0.002,6852.0,3130.0,1.0
"c[0, 65]",-0.34,0.173,-0.613,-0.046,0.002,0.002,5048.0,2984.0,1.0
"c[0, 66]",-0.48,0.169,-0.759,-0.201,0.002,0.002,4653.0,2615.0,1.0
"c[0, 67]",0.731,0.17,0.451,1.005,0.002,0.001,9513.0,2721.0,1.0
"c[0, 68]",0.16,0.169,-0.113,0.448,0.002,0.002,7391.0,3292.0,1.0
"c[0, 69]",0.004,0.181,-0.288,0.307,0.002,0.003,5623.0,3030.0,1.0
"c[0, 70]",-0.4,0.157,-0.65,-0.144,0.002,0.002,4852.0,3111.0,1.0
"c[0, 71]",-1.083,0.232,-1.432,-0.687,0.004,0.003,2987.0,2549.0,1.0
"c[0, 72]",-0.948,0.201,-1.278,-0.637,0.003,0.002,4524.0,3141.0,1.0
"c[0, 73]",0.3,0.161,0.043,0.567,0.002,0.002,5067.0,3110.0,1.0
"c[0, 74]",-0.055,0.163,-0.318,0.221,0.002,0.002,6786.0,3136.0,1.0
"c[0, 75]",-0.922,0.226,-1.285,-0.549,0.004,0.003,3599.0,2483.0,1.0
"c[0, 76]",-0.05,0.146,-0.287,0.191,0.002,0.002,5930.0,2948.0,1.0
"c[0, 77]",-0.082,0.169,-0.37,0.184,0.002,0.002,6304.0,3041.0,1.0
"c[0, 78]",-0.163,0.182,-0.465,0.135,0.003,0.002,4997.0,2870.0,1.0
"c[0, 79]",0.135,0.175,-0.156,0.417,0.002,0.002,6226.0,2986.0,1.0
"c[0, 80]",0.427,0.163,0.178,0.71,0.002,0.001,7112.0,3136.0,1.0
"c[0, 81]",0.656,0.184,0.373,0.976,0.002,0.002,7136.0,2535.0,1.0
"c[0, 82]",0.434,0.163,0.169,0.695,0.002,0.001,7669.0,2897.0,1.0
"c[0, 83]",0.414,0.176,0.137,0.714,0.002,0.002,7155.0,2971.0,1.0
"c[0, 84]",-0.146,0.228,-0.512,0.227,0.004,0.003,4341.0,2622.0,1.0
"c[0, 85]",-0.345,0.193,-0.658,-0.03,0.003,0.002,4637.0,2947.0,1.0
"c[0, 86]",0.054,0.165,-0.204,0.333,0.002,0.002,6084.0,2951.0,1.0
"c[0, 87]",0.953,0.208,0.632,1.302,0.003,0.002,5849.0,2989.0,1.0
"c[0, 88]",0.584,0.17,0.313,0.857,0.002,0.002,7536.0,2697.0,1.0
"c[0, 89]",0.625,0.163,0.353,0.889,0.002,0.001,9383.0,2896.0,1.0
"c[0, 90]",0.174,0.155,-0.068,0.427,0.002,0.002,5771.0,3002.0,1.0
"c[0, 91]",0.386,0.149,0.135,0.624,0.002,0.001,7982.0,2984.0,1.0
"c[0, 92]",0.387,0.147,0.128,0.611,0.002,0.001,6625.0,2791.0,1.0
"c[0, 93]",0.621,0.162,0.362,0.894,0.002,0.002,6024.0,2562.0,1.0
"c[0, 94]",-0.914,0.228,-1.298,-0.562,0.004,0.003,3620.0,2869.0,1.0
"c[0, 95]",0.195,0.199,-0.145,0.514,0.002,0.002,6761.0,3036.0,1.0
"c[0, 96]",0.355,0.178,0.076,0.655,0.002,0.002,7574.0,2559.0,1.0
"c[0, 97]",-0.917,0.223,-1.276,-0.547,0.004,0.003,3645.0,2621.0,1.0
"c[0, 98]",-0.107,0.16,-0.377,0.148,0.002,0.002,5454.0,3321.0,1.0
"c[0, 99]",0.729,0.174,0.44,1.013,0.002,0.002,7871.0,2707.0,1.0
"c[1, 0]",0.571,0.145,0.341,0.809,0.002,0.001,6307.0,3461.0,1.0
"c[1, 1]",0.261,0.154,0.01,0.51,0.002,0.002,5885.0,3240.0,1.0
"c[1, 2]",0.744,0.15,0.512,0.997,0.002,0.001,6721.0,3300.0,1.0
"c[1, 3]",0.557,0.146,0.3,0.786,0.002,0.001,6360.0,3094.0,1.0
"c[1, 4]",0.689,0.147,0.445,0.92,0.002,0.001,6720.0,3205.0,1.0
"c[1, 5]",0.609,0.143,0.386,0.855,0.002,0.001,7382.0,3453.0,1.0
"c[1, 6]",0.959,0.158,0.694,1.205,0.002,0.002,5974.0,2833.0,1.0
"c[1, 7]",0.326,0.141,0.104,0.566,0.002,0.001,5811.0,2719.0,1.0
"c[1, 8]",0.706,0.146,0.477,0.96,0.002,0.001,6349.0,3209.0,1.0
