,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"c[1, 9]",1.09,0.17,0.8,1.36,0.002,0.002,6437.0,2955.0,1.0
"c[1, 10]",1.379,0.207,1.038,1.712,0.003,0.002,5251.0,3124.0,1.0
"c[1, 11]",0.554,0.15,0.309,0.804,0.002,0.001,6205.0,3193.0,1.0
"c[1, 12]",0.738,0.159,0.455,0.977,0.002,0.002,4756.0,2960.0,1.0
"c[1, 13]",0.55,0.148,0.308,0.795,0.002,0.001,5307.0,3077.0,1.0
"c[1, 14]",0.199,0.147,-0.036,0.449,0.002,0.002,4742.0,3244.0,1.0
"c[1, 15]",0.642,0.161,0.398,0.922,0.002,0.001,6493.0,2922.0,1.0
"c[1, 16]",0.085,0.15,-0.174,0.319,0.002,0.002,5574.0,2944.0,1.0
"c[1, 17]",0.306,0.148,0.05,0.537,0.002,0.001,5959.0,3231.0,1.0
"c[1, 18]",0.883,0.168,0.604,1.155,0.002,0.001,6911.0,3054.0,1.0
"c[1, 19]",0.383,0.151,0.135,0.639,0.002,0.002,4773.0,2883.0,1.0
"c[1, 20]",0.827,0.164,0.562,1.097,0.002,0.001,6917.0,3143.0,1.0
"c[1, 21]",0.102,0.163,-0.173,0.362,0.002,0.002,5817.0,3505.0,1.0
"c[1, 22]",-0.194,0.169,-0.472,0.086,0.003,0.002,4342.0,3337.0,1.0
"c[1, 23]",1.376,0.2,1.049,1.703,0.002,0.002,6462.0,2997.0,1.0
"c[1, 24]",1.086,0.176,0.808,1.376,0.002,0.002,6420.0,2963.0,1.0
"c[1, 25]",0.883,0.172,0.59,1.149,0.002,0.002,5137.0,2908.0,1.0
"c[1, 26]",2.231,0.359,1.636,2.794,0.006,0.004,4342.0,2459.0,1.0
"c[1, 27]",0.83,0.163,0.567,1.092,0.002,0.002,6523.0,2781.0,1.0
"c[1, 28]",1.075,0.174,0.795,1.361,0.002,0.002,6146.0,2961.0,1.0
"c[1, 29]",0.838,0.155,0.582,1.095,0.002,0.002,5511.0,3068.0,1.0
"c[1, 30]",1.0,0.165,0.735,1.27,0.002,0.002,6039.0,2737.0,1.0
"c[1, 31]",0.284,0.151,0.032,0.53,0.002,0.002,5538.0,3143.0,1.0
"c[1, 32]",0.504,0.147,0.279,0.759,0.002,0.001,6557.0,3231.0,1.0
"c[1, 33]",0.457,0.147,0.209,0.687,0.002,0.001,5326.0,3273.0,1.0
"c[1, 34]",0.061,0.155,-0.205,0.304,0.002,0.002,5509.0,3223.0,1.0
"c[1, 35]",0.187,0.142,-0.051,0.409,0.002,0.002,5310.0,3393.0,1.0
"c[1, 36]",0.07,0.142,-0.154,0.315,0.002,0.002,4629.0,3217.0,1.0
"c[1, 37]",0.954,0.168,0.695,1.248,0.002,0.002,4984.0,3271.0,1.0
"c[1, 38]",0.689,0.156,0.433,0.943,0.002,0.001,6266.0,3166.0,1.0
"c[1, 39]",0.75,0.153,0.498,0.995,0.002,0.002,5012.0,2687.0,1.0
"c[1, 40]",0.786,0.157,0.529,1.045,0.002,0.001,5789.0,3191.0,1.0
"c[1, 41]",0.977,0.171,0.685,1.238,0.002,0.002,6584.0,2602.0,1.0
