,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"yf[1, 47]",9.47,3.706,4.0,15.0,0.05,0.036,5658.0,3773.0,1.0
"yf[1, 48]",24.245,5.301,15.0,32.0,0.074,0.053,5129.0,3795.0,1.0
"yf[1, 49]",25.545,5.503,15.0,33.0,0.082,0.059,4488.0,3665.0,1.0
"yf[1, 50]",14.511,4.442,6.0,20.0,0.058,0.043,5780.0,3358.0,1.0
"yf[1, 51]",10.598,3.965,4.0,16.0,0.059,0.043,4463.0,3708.0,1.0
"yf[1, 52]",11.806,4.075,4.0,17.0,0.052,0.038,6116.0,4000.0,1.0
"yf[1, 53]",7.759,3.443,1.0,12.0,0.05,0.037,4878.0,3523.0,1.0
"yf[1, 54]",8.397,3.563,2.0,13.0,0.051,0.04,5048.0,3499.0,1.0
"yf[1, 55]",10.205,3.847,4.0,16.0,0.057,0.041,4589.0,3514.0,1.0
"yf[1, 56]",21.054,5.21,11.0,28.0,0.073,0.052,5164.0,4086.0,1.0
"yf[1, 57]",11.864,4.178,5.0,18.0,0.058,0.042,5182.0,3584.0,1.0
"yf[1, 58]",14.208,4.332,6.0,20.0,0.058,0.041,5579.0,4046.0,1.0
"yf[1, 59]",8.439,3.512,2.0,13.0,0.053,0.038,4514.0,3599.0,1.0
"yf[1, 60]",11.788,4.146,5.0,18.0,0.057,0.042,5215.0,3071.0,1.0
"yf[1, 61]",12.23,4.202,5.0,18.0,0.06,0.043,4944.0,3500.0,1.0
"yf[1, 62]",9.651,3.672,4.0,15.0,0.052,0.037,4857.0,4150.0,1.0
"yf[1, 63]",7.558,3.324,2.0,12.0,0.048,0.035,4814.0,3801.0,1.0
"yf[1, 64]",5.683,2.906,1.0,10.0,0.042,0.031,5001.0,3606.0,1.0
"yf[1, 65]",8.0,3.331,3.0,13.0,0.047,0.034,5044.0,3992.0,1.0
"yf[1, 66]",18.908,4.974,10.0,26.0,0.074,0.053,4517.0,3270.0,1.0
"yf[1, 67]",9.797,3.797,3.0,15.0,0.051,0.038,5584.0,3929.0,1.0
"yf[1, 68]",16.422,4.672,8.0,23.0,0.064,0.046,5378.0,3771.0,1.0
"yf[1, 69]",5.39,2.881,0.0,9.0,0.043,0.031,4529.0,3778.0,1.0
"yf[1, 70]",23.64,5.423,13.0,31.0,0.08,0.056,4600.0,3888.0,1.0
"yf[1, 71]",13.092,4.322,5.0,19.0,0.064,0.046,4515.0,3850.0,1.0
"yf[1, 72]",11.657,3.977,5.0,17.0,0.059,0.043,4594.0,3569.0,1.0
"yf[1, 73]",14.611,4.491,7.0,21.0,0.064,0.045,4944.0,3939.0,1.0
"yf[1, 74]",8.567,3.578,2.0,13.0,0.05,0.037,5099.0,3748.0,1.0
"yf[1, 75]",20.008,4.978,11.0,27.0,0.073,0.053,4678.0,4005.0,1.0
"yf[1, 76]",7.128,3.314,2.0,12.0,0.045,0.033,5261.0,3591.0,1.0
"yf[1, 77]",11.998,4.201,5.0,18.0,0.063,0.045,4371.0,3804.0,1.0
"yf[1, 78]",9.221,3.729,2.0,14.0,0.05,0.036,5564.0,3876.0,1.0
"yf[1, 79]",28.346,5.638,19.0,37.0,0.085,0.06,4350.0,3557.0,1.0
"yf[1, 80]",11.038,4.022,5.0,17.0,0.058,0.041,4741.0,3756.0,1.0
"yf[1, 81]",5.274,2.84,1.0,9.0,0.04,0.03,5141.0,4010.0,1.0
"yf[1, 82]",27.703,5.534,18.0,36.0,0.083,0.059,4476.0,3292.0,1.0
"yf[1, 83]",15.095,4.565,8.0,22.0,0.066,0.048,4798.0,3568.0,1.0
"yf[1, 84]",23.095,5.283,13.0,30.0,0.08,0.057,4379.0,3820.0,1.0
"yf[1, 85]",6.974,3.125,1.0,11.0,0.044,0.032,4925.0,3967.0,1.0
"yf[1, 86]",12.944,4.243,6.0,19.0,0.059,0.043,5185.0,3981.0,1.0
"yf[1, 87]",7.225,3.234,2.0,12.0,0.047,0.034,4799.0,3924.0,1.0
"yf[1, 88]",15.169,4.488,8.0,22.0,0.061,0.044,5388.0,3661.0,1.0
"yf[1, 89]",15.902,4.591,9.0,23.0,0.065,0.047,5022.0,3555.0,1.0
"yf[1, 90]",9.856,3.773,3.0,15.0,0.055,0.039,4761.0,3843.0,1.0
"yf[1, 91]",7.044,3.257,2.0,12.0,0.046,0.033,4890.0,3961.0,1.0
"yf[1, 92]",8.752,3.582,3.0,14.0,0.05,0.037,5049.0,3544.0,1.0
"yf[1, 93]",8.526,3.531,2.0,13.0,0.05,0.036,4877.0,3998.0,1.0
"yf[1, 94]",4.417,2.621,0.0,8.0,0.039,0.029,4831.0,3984.0,1.0
"yf[1, 95]",12.536,4.267,6.0,19.0,0.063,0.045,4630.0,3447.0,1.0
"yf[1, 96]",6.149,2.978,1.0,10.0,0.044,0.031,4517.0,3609.0,1.0
"yf[1, 97]",8.53,3.587,2.0,13.0,0.052,0.037,4757.0,3720.0,1.0
"yf[1, 98]",5.334,2.815,1.0,9.0,0.041,0.03,4867.0,3572.0,1.0
"yf[1, 99]",6.257,3.045,1.0,10.0,0.044,0.033,4815.0,4071.0,1.0
"yh[0, 0]",22.292,2.008,20.0,25.0,0.032,0.022,4018.0,3856.0,1.0
"yh[0, 1]",23.488,1.529,21.0,25.0,0.024,0.017,4027.0,3757.0,1.0
"yh[0, 2]",16.508,3.128,11.0,21.0,0.045,0.032,4917.0,3420.0,1.0
"yh[0, 3]",21.738,2.23,19.0,25.0,0.031,0.022,5065.0,4000.0,1.0
"yh[0, 4]",21.66,2.229,19.0,25.0,0.032,0.023,4703.0,3938.0,1.0
"yh[0, 5]",20.3,2.556,16.0,24.0,0.038,0.027,4451.0,3858.0,1.0
"yh[0, 6]",18.847,2.815,14.0,23.0,0.04,0.028,4902.0,3555.0,1.0
"yh[0, 7]",24.301,1.033,23.0,25.0,0.016,0.011,4092.0,3792.0,1.0
"yh[0, 8]",23.515,1.548,21.0,25.0,0.024,0.017,4116.0,3466.0,1.0
"yh[0, 9]",23.063,1.704,21.0,25.0,0.027,0.019,3954.0,4000.0,1.0
"yh[0, 10]",12.509,3.335,6.0,17.0,0.046,0.033,5176.0,3688.0,1.0
"yh[0, 11]",23.83,1.34,22.0,25.0,0.021,0.015,4232.0,3630.0,1.0
"yh[0, 12]",22.61,1.914,20.0,25.0,0.03,0.021,4170.0,3283.0,1.0
"yh[0, 13]",21.822,2.193,19.0,25.0,0.033,0.023,4546.0,3870.0,1.0
"yh[0, 14]",18.66,2.875,14.0,23.0,0.042,0.03,4618.0,3909.0,1.0
"yh[0, 15]",24.19,1.122,23.0,25.0,0.018,0.013,3841.0,3536.0,1.0
"yh[0, 16]",14.314,3.25,9.0,19.0,0.049,0.034,4471.0,3903.0,1.0
"yh[0, 17]",21.572,2.35,17.0,24.0,0.034,0.024,4852.0,3481.0,1.0
"yh[0, 18]",23.167,1.679,21.0,25.0,0.027,0.019,3860.0,3903.0,1.0
"yh[0, 19]",21.06,2.379,17.0,24.0,0.034,0.024,4806.0,3416.0,1.0
"yh[0, 20]",19.52,2.797,16.0,24.0,0.038,0.027,5362.0,3648.0,1.0
"yh[0, 21]",21.147,2.322,17.0,24.0,0.036,0.026,4271.0,3466.0,1.0
"yh[0, 22]",22.34,1.986,20.0,25.0,0.03,0.021,4508.0,3976.0,1.0
"yh[0, 23]",23.302,1.673,21.0,25.0,0.027,0.019,4129.0,3746.0,1.0
"yh[0, 24]",21.254,2.369,17.0,24.0,0.034,0.024,5063.0,3769.0,1.0
"yh[0, 25]",24.39,0.981,23.0,25.0,0.015,0.011,4170.0,3647.0,1.0
"yh[0, 26]",20.212,2.598,16.0,24.0,0.039,0.028,4486.0,3908.0,1.0
"yh[0, 27]",18.25,2.962,14.0,23.0,0.043,0.031,4750.0,3670.0,1.0
"yh[0, 28]",19.017,2.785,14.0,23.0,0.04,0.029,4779.0,3886.0,1.0
"yh[0, 29]",13.113,3.317,8.0,18.0,0.051,0.037,4294.0,3590.0,1.0
"yh[0, 30]",14.194,3.309,9.0,19.0,0.051,0.036,4308.0,3867.0,1.0
"yh[0, 31]",21.87,2.12,19.0,25.0,0.033,0.023,4235.0,4000.0,1.0
"yh[0, 32]",21.147,2.389,17.0,24.0,0.034,0.024,5180.0,3811.0,1.0
"yh[0, 33]",14.179,3.34,8.0,19.0,0.047,0.033,5131.0,3700.0,1.0
"yh[0, 34]",22.315,1.986,20.0,25.0,0.03,0.021,4495.0,4000.0,1.0
"yh[0, 35]",17.773,3.021,13.0,22.0,0.047,0.033,4132.0,3729.0,1.0
"yh[0, 36]",20.566,2.535,17.0,24.0,0.036,0.026,4933.0,3466.0,1.0
"yh[0, 37]",21.338,2.299,17.0,24.0,0.035,0.025,4288.0,3939.0,1.0
"yh[0, 38]",14.505,3.189,9.0,19.0,0.047,0.033,4653.0,3658.0,1.0
"yh[0, 39]",21.44,2.279,17.0,24.0,0.034,0.024,4334.0,4000.0,1.0
"yh[0, 40]",18.614,2.843,13.0,22.0,0.042,0.03,4595.0,3895.0,1.0
"yh[0, 41]",19.602,2.645,15.0,23.0,0.039,0.027,4642.0,3619.0,1.0
"yh[0, 42]",13.92,3.315,9.0,19.0,0.05,0.036,4338.0,3446.0,1.0
"yh[0, 43]",18.917,2.784,14.0,23.0,0.041,0.029,4790.0,3925.0,1.0
"yh[0, 44]",18.731,2.84,13.0,22.0,0.039,0.028,5327.0,3708.0,1.0
"yh[0, 45]",20.732,2.476,17.0,24.0,0.037,0.026,4635.0,3858.0,1.0
"yh[0, 46]",23.917,1.31,22.0,25.0,0.019,0.014,4627.0,3827.0,1.0
"yh[0, 47]",21.742,2.187,19.0,25.0,0.034,0.024,4006.0,3846.0,1.0
"yh[0, 48]",19.64,2.642,15.0,23.0,0.037,0.026,5020.0,3683.0,1.0
"yh[0, 49]",5.968,2.857,1.0,10.0,0.041,0.029,4953.0,3821.0,1.0
"yh[0, 50]",19.936,2.69,16.0,24.0,0.039,0.028,4717.0,3782.0,1.0
"yh[0, 51]",20.81,2.46,17.0,24.0,0.036,0.026,4683.0,3746.0,1.0
"yh[0, 52]",22.514,1.979,20.0,25.0,0.03,0.021,4509.0,3884.0,1.0
"yh[0, 53]",19.61,2.699,15.0,23.0,0.043,0.03,3910.0,3604.0,1.0
"yh[0, 54]",21.948,2.181,19.0,25.0,0.032,0.022,4823.0,3567.0,1.0
"yh[0, 55]",19.651,2.675,15.0,23.0,0.041,0.029,4356.0,3379.0,1.0
"yh[0, 56]",24.033,1.251,22.0,25.0,0.02,0.014,3904.0,3777.0,1.0
"yh[0, 57]",20.41,2.531,16.0,24.0,0.037,0.026,4697.0,3823.0,1.0
"yh[0, 58]",23.809,1.385,22.0,25.0,0.022,0.015,3891.0,3879.0,1.0
"yh[0, 59]",24.023,1.237,22.0,25.0,0.02,0.014,3913.0,4000.0,1.0
"yh[0, 60]",18.132,2.896,13.0,22.0,0.041,0.029,5293.0,3485.0,1.0
"yh[0, 61]",24.144,1.118,23.0,25.0,0.017,0.012,4176.0,4000.0,1.0
"yh[0, 62]",22.858,1.842,20.0,25.0,0.027,0.019,4623.0,3975.0,1.0
"yh[0, 63]",16.195,3.226,11.0,21.0,0.043,0.031,5544.0,3763.0,1.0
"yh[0, 64]",19.885,2.651,16.0,24.0,0.038,0.027,4952.0,3942.0,1.0
"yh[0, 65]",22.652,1.886,20.0,25.0,0.03,0.021,3954.0,3516.0,1.0
"yh[0, 66]",22.251,2.055,19.0,25.0,0.032,0.023,4078.0,3803.0,1.0
"yh[0, 67]",14.822,3.262,10.0,20.0,0.046,0.033,5082.0,3273.0,1.0
"yh[0, 68]",20.704,2.465,17.0,24.0,0.036,0.026,4636.0,3855.0,1.0
"yh[0, 69]",22.148,2.072,19.0,25.0,0.031,0.022,4417.0,3888.0,1.0
"yh[0, 70]",21.5,2.25,19.0,25.0,0.034,0.024,4374.0,3653.0,1.0
"yh[0, 71]",24.336,0.998,23.0,25.0,0.016,0.011,3787.0,3759.0,1.0
"yh[0, 72]",23.84,1.366,22.0,25.0,0.021,0.015,4141.0,3761.0,1.0
"yh[0, 73]",18.374,2.986,14.0,23.0,0.045,0.032,4365.0,3513.0,1.0
"yh[0, 74]",20.952,2.417,17.0,24.0,0.034,0.024,4969.0,3938.0,1.0
"yh[0, 75]",24.233,1.073,23.0,25.0,0.017,0.012,4022.0,3694.0,1.0
"yh[0, 76]",16.919,3.145,11.0,21.0,0.049,0.034,4271.0,3702.0,1.0
"yh[0, 77]",21.732,2.166,19.0,25.0,0.031,0.022,4827.0,4000.0,1.0
